vtkOriginalIndices,Displacement:0,Displacement:1,Points:0,Points:1,Points:2,__vtkIsSelected__,arc_length,vtkValidPointMask
130,5.6189e-07,-4.20566e-09,1,1.3,0,0,1.3,1
131,5.6608e-07,-4.19832e-09,1,1.31,0,0,1.31,1
132,5.70269e-07,-4.19029e-09,1,1.32,0,0,1.32,1
133,5.74455e-07,-4.18156e-09,1,1.33,0,0,1.33,1
134,5.78638e-07,-4.17213e-09,1,1.34,0,0,1.34,1
135,5.8282e-07,-4.162e-09,1,1.35,0,0,1.35,1
136,5.86999e-07,-4.15116e-09,1,1.36,0,0,1.36,1
137,5.91176e-07,-4.13962e-09,1,1.37,0,0,1.37,1
138,5.9535e-07,-4.12737e-09,1,1.38,0,0,1.38,1
139,5.99522e-07,-4.11441e-09,1,1.39,0,0,1.39,1
140,6.03691e-07,-4.10073e-09,1,1.4,0,0,1.4,1
141,6.07859e-07,-4.08633e-09,1,1.41,0,0,1.41,1
142,6.12023e-07,-4.07122e-09,1,1.42,0,0,1.42,1
143,6.16186e-07,-4.05539e-09,1,1.43,0,0,1.43,1
144,6.20346e-07,-4.03883e-09,1,1.44,0,0,1.44,1
145,6.24504e-07,-4.02154e-09,1,1.45,0,0,1.45,1
146,6.28659e-07,-4.00353e-09,1,1.46,0,0,1.46,1
147,6.32812e-07,-3.98478e-09,1,1.47,0,0,1.47,1
148,6.36962e-07,-3.9653e-09,1,1.48,0,0,1.48,1
149,6.4111e-07,-3.94508e-09,1,1.49,0,0,1.49,1
150,6.45255e-07,-3.92412e-09,1,1.5,0,0,1.5,1
151,6.49398e-07,-3.90242e-09,1,1.51,0,0,1.51,1
152,6.53539e-07,-3.87997e-09,1,1.52,0,0,1.52,1
153,6.57677e-07,-3.85678e-09,1,1.53,0,0,1.53,1
154,6.61813e-07,-3.83283e-09,1,1.54,0,0,1.54,1
155,6.65946e-07,-3.80813e-09,1,1.55,0,0,1.55,1
156,6.70076e-07,-3.78268e-09,1,1.56,0,0,1.56,1
157,6.74204e-07,-3.75646e-09,1,1.57,0,0,1.57,1
158,6.7833e-07,-3.72949e-09,1,1.58,0,0,1.58,1
159,6.82453e-07,-3.70175e-09,1,1.59,0,0,1.59,1
160,6.86573e-07,-3.67324e-09,1,1.6,0,0,1.6,1
161,6.90691e-07,-3.64397e-09,1,1.61,0,0,1.61,1
162,6.94806e-07,-3.61392e-09,1,1.62,0,0,1.62,1
163,6.98919e-07,-3.58309e-09,1,1.63,0,0,1.63,1
164,7.03029e-07,-3.55149e-09,1,1.64,0,0,1.64,1
165,7.07138e-07,-3.5187e-09,1,1.65,0,0,1.65,1
166,7.11218e-07,-3.48781e-09,1,1.66,0,0,1.66,1
